date,v
1951/6/25,132.73
1951/6/26,131.45
1951/6/27,130.3
1951/6/28,130.59
1951/6/29,130.73
1951/7/2,126.22
1951/7/3,124.48
1951/7/4,127.93
1951/7/5,128.5
1951/7/6,127.94
1951/7/9,127.52
1951/7/10,127.2
1951/7/11,128
1951/7/12,127.7
1951/7/13,128.33
1951/7/16,129.91
1951/7/17,130.63
1951/7/18,132.46
1951/7/19,133.23
1951/7/20,132.91
1951/7/23,132.29
1951/7/24,132.08
1951/7/25,132.99
1951/7/26,132.98
1951/7/27,133.01
1951/7/30,134.25
1951/7/31,135.89
1951/8/1,136.23
1951/8/2,137.72
1951/8/3,139.44
1951/8/6,140.69
1951/8/7,138.34
1951/8/8,137.76
1951/8/9,137.75
1951/8/10,137.14
1951/8/13,137.85
1951/8/14,137.45
1951/8/15,137.21
1951/8/16,137.09
1951/8/17,137.38
1951/8/20,137.46
1951/8/21,138.04
1951/8/22,139.31
1951/8/23,140.81
1951/8/24,140.14
1951/8/27,142.82
1951/8/28,143.29
1951/8/29,143.14
1951/8/30,144.04
1951/8/31,145.3
1951/9/3,146.42
1951/9/4,144.68
1951/9/5,144.46
1951/9/6,144.6
1951/9/7,145.49
1951/9/10,145.99
1951/9/11,146.15
1951/9/12,146.39
1951/9/13,146.08
1951/9/14,146.72
1951/9/17,145.43
1951/9/18,143.61
1951/9/19,144.33
1951/9/20,145.56
1951/9/21,146.37
1951/9/25,153.06
1951/9/26,152.7
1951/9/27,151.69
1951/9/28,153
1951/10/1,154.07
1951/10/2,154.7
1951/10/3,157.87
1951/10/4,161.12
1951/10/5,162.73
1951/10/8,157.27
1951/10/9,157.23
1951/10/10,159.89
1951/10/11,159.23
1951/10/12,159.25
1951/10/15,160.96
1951/10/16,161.04
1951/10/17,162.9
1951/10/18,162.13
1951/10/19,164.25
1951/10/22,165.71
1951/10/23,164.87
1951/10/24,165.45
1951/10/25,168.63
1951/10/26,168.87
1951/10/29,165.63
1951/10/30,164.8
1951/10/31,165.09
1951/11/1,165.17
1951/11/2,163.07
1951/11/5,160.06
1951/11/6,159.68
1951/11/7,159.67
1951/11/8,159.19
1951/11/9,161.47
1951/11/12,162.23
1951/11/13,162.92
1951/11/14,162.79
1951/11/15,162.08
1951/11/16,162.37
1951/11/19,161.64
1951/11/20,159.45
1951/11/21,157.26
1951/11/22,155.69
1951/11/26,153.59
1951/11/27,156.04
1951/11/28,155.48
1951/11/29,156.35
1951/11/30,157.35
1951/12/3,159.93
1951/12/4,159.29
1951/12/5,159.45
1951/12/6,159.38
1951/12/7,160.07
1951/12/10,160.97
1951/12/11,159.59
1951/12/12,158.82
1951/12/13,158.86
1951/12/14,158.85
1951/12/17,158.42
1951/12/18,157.06
1951/12/19,157.56
1951/12/20,158.8
1951/12/21,160.03
1951/12/24,160.55
1951/12/25,161.18
1951/12/26,162.31
1951/12/27,163.98
1951/12/28,166.06
1952/1/4,167.8
1952/1/7,168.64
1952/1/8,168.7
1952/1/9,170.73
1952/1/10,173.67
1952/1/11,174.85
1952/1/14,177.37
1952/1/16,179.39
1952/1/17,180.45
1952/1/18,177.19
1952/1/21,180.96
1952/1/22,180.22
1952/1/23,183.16
1952/1/24,183.01
1952/1/25,184.27
1952/1/28,188.68
1952/1/29,186.36
1952/1/30,187.45
1952/1/31,188.96
1952/2/1,190.77
1952/2/4,191.7
1952/2/5,189.87
1952/2/6,190.64
1952/2/7,193.29
1952/2/8,192.2
1952/2/11,189.71
1952/2/12,189.93
1952/2/13,191.83
1952/2/14,190.73
1952/2/15,187.81
1952/2/18,187.7
1952/2/19,189.04
1952/2/20,190.06
1952/2/21,189.23
1952/2/22,185.8
1952/2/25,184.68
1952/2/26,183.9
1952/2/27,180.77
1952/2/28,180.3
1952/2/29,181.4
1952/3/3,184.23
1952/3/4,185.38
1952/3/5,184.27
1952/3/6,185.81
1952/3/7,187.23
1952/3/10,187.98
1952/3/11,188.5
1952/3/12,188.26
1952/3/13,186.52
1952/3/14,186.02
1952/3/17,185.18
1952/3/18,183.25
1952/3/19,180.65
1952/3/20,182.1
1952/3/24,180.5
1952/3/25,179.92
1952/3/26,179.91
1952/3/27,181.48
1952/3/28,176.23
1952/3/31,175.51
1952/4/1,175.99
1952/4/2,177.36
1952/4/3,179.41
1952/4/4,181.51
1952/4/7,182.28
1952/4/8,182.8
1952/4/9,184.59
1952/4/10,184.81
1952/4/11,185.12
1952/4/14,185.94
1952/4/15,188.5
1952/4/16,192.91
1952/4/17,195.05
1952/4/18,197.88
1952/4/21,199.66
1952/4/22,200.26
1952/4/23,201.09
1952/4/24,203.05
1952/4/25,206.2
1952/4/28,202.54
1952/4/30,202.72
1952/5/1,204.41
1952/5/2,207.86
1952/5/6,207.98
1952/5/7,209.11
1952/5/8,207.74
1952/5/9,208.53
1952/5/12,208.13
1952/5/13,206.72
1952/5/14,207.56
1952/5/15,207.29
1952/5/16,206.56
1952/5/19,204.85
1952/5/20,205.99
1952/5/21,209.3
1952/5/22,210.6
1952/5/23,213.11
1952/5/26,214.96
1952/5/27,216.58
1952/5/28,220.77
1952/5/29,222.75
1952/5/30,222.54
1952/6/2,228.41
1952/6/3,225.98
1952/6/4,224
1952/6/5,227.01
1952/6/6,225.1
1952/6/9,228.73
1952/6/10,232.88
1952/6/11,233
1952/6/12,239.08
1952/6/13,238.2
1952/6/16,240.96
1952/6/17,238.92
1952/6/18,234.57
1952/6/19,239.07
1952/6/20,240.22
1952/6/23,234.33
1952/6/24,237.12
1952/6/25,238.37
1952/6/26,241.1
1952/6/27,242.58
1952/6/30,246.15
1952/7/1,249.86
1952/7/2,251.3
1952/7/3,254.7
1952/7/4,255.17
1952/7/7,259.59
1952/7/8,259.45
1952/7/9,262.56
1952/7/10,262.71
1952/7/11,263.04
1952/7/14,256.64
1952/7/15,257.57
1952/7/16,257.62
1952/7/17,248.48
1952/7/18,238.8
1952/7/21,247.81
1952/7/22,245.61
1952/7/23,246.43
1952/7/24,245.37
1952/7/25,246.65
1952/7/28,246.92
1952/7/29,249.25
1952/7/30,250.24
1952/7/31,253.21
1952/8/1,253.74
1952/8/4,256.98
1952/8/5,255.4
