ok	ng
-5.842658528	2.482197355
-5.788402848	2.990844354
-5.432349949	3.533401153
-4.85588335	4.042048152
-4.225161072	4.286198711
-3.533401153	4.394710071
-2.651746355	4.330281451
-1.546286877	4.116649712
-0.552729739	3.777551712
0.257714479	3.292641573
1.000339098	2.804340454
1.841302136	2.377076975
2.553407935	2.054933876
2.960325534	1.664971177
3.099355714	1.227534758
3.079009834	0.783316378
2.939979654	0.478128179
2.590708715	0.23397762
2.007460156	0.03051882
1.336046117	-0.00339098
0.773143438	0.08816548
0.1356392	0.389962699
-0.634113259	0.729060699
-1.342828077	1.112241438
-1.861648016	1.556459817
-2.177009156	2.105798576
-2.505934215	2.597490675
-2.689047135	3.065445914
-2.692438115	3.567310953
-2.458460495	4.038657172
-2.271956595	4.404883011
-2.058324856	4.672770431
-1.814174296	4.85249237
-1.603933537	4.94065785
-1.495422177	4.99152255
-1.549677857	4.91692099
-1.614106477	4.713462191
-1.661580197	4.455747711
-1.726008817	4.299762631
-1.875211936	4.191251272
-2.078670736	4.089521872
-2.319430315	4.021702272
-2.485588335	4.038657172
-2.709393015	4.150559512
-3.028145134	4.292980671
-3.346897253	4.469311631
-3.533401153	4.649033571
-3.641912513	4.88640217
-3.814852492	4.94404883
-4.008138352	4.76432689
-4.045439132	4.482875551
-3.953882672	4.187860292
-3.838589352	3.787724652
-3.767378772	3.350288233
-3.553747033	2.892505934
-3.201085114	2.458460495
-2.831468294	1.997287216
-2.644964395	1.451339437
-2.400813835	0.871481858
-1.912512716	0.311970159
-1.285181417	-0.1356392
-0.776534418	-0.495083079
-0.335707019	-0.820617158
0.14242116	-0.993557138
0.739233639	-1.112241438
1.163106138	-1.176670058
1.522550017	-1.108850458
1.807392336	-0.969820278
2.156663276	-0.640895219
2.472024415	-0.261105459
2.492370295	0.0339098
2.295693455	0.17633096
1.963377416	0.257714479
1.566632757	0.345879959
1.034248898	0.20684978
0.298406239	-0.06442862
-0.569684639	-0.288233299
-1.430993557	-0.525601899
-2.207527976	-0.705323839
-3.051881994	-0.847744998
-3.858935232	-0.929128518
-4.520176331	-0.956256358
-4.90674805	-0.868090878
-5.08646999	-0.810444218
-5.16446253	-0.810444218
-5.14750763	-0.739233639
-4.94404883	-0.542556799
-4.479484571	-0.369616819
-3.899626992	-0.24075958
-3.319769413	-0.04747372
-2.763648694	0.301797219
-2.021024076	0.600203459
-1.278399457	0.735842659
-0.705323839	0.783316378
-0.274669379	0.946083418
0.15598508	1.112241438
0.647677179	1.173279078
0.966429298	1.135978298
1.156324178	1.139369278
1.051203798	1.237707698
0.952865378	1.224143778
0.891827738	1.108850458
0.674805019	1.000339098
0.328925059	0.854526958
-0.09494744	0.766361478
-0.383180739	0.640895219
-0.535774839	0.569684639
-0.746015599	0.501865039
-0.966429298	0.417090539
-1.047812818	0.15937606
